Date,Country,Bias motivations,Type of incident,Source,Description
2016-03,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A Muslim woman wearing a headscarf was insulted and assaulted. The perpetrator broke one of her fingers and ripped off her headscarf.
2016-10,Bulgaria,Anti-Muslim hate crime,Attacks against property,"Office of Grand Mufti in Bulgaria, SETA",The entrance of a mosque was vandalized with graffiti.
2016-01,France,Anti-Muslim hate crime,Attacks against property,"CCIF, SETA",A mosque was vandalized with graffiti spray-painted on the walls and the remains of a wild boar were left inside the building.
2016-11,Bulgaria,Anti-Muslim hate crime,Attacks against property,"Office of Grand Mufti in Bulgaria, SETA",Threatening graffiti and a pig's head were used to vandalize a mosque.
2016-01,France,Anti-Muslim hate crime,Threats,CCIF,A threatening letter that also contained pork was sent to a mosque.
2016-11,Bulgaria,Anti-Muslim hate crime,Attacks against property,"Office of Grand Mufti in Bulgaria, SETA",A mosque was vandalized with offensive graffiti.
2016-01,France,Anti-Muslim hate crime,Attacks against property,CCIF,Several Muslim graves were vandalized.
2016-01,France,Anti-Muslim hate crime,Attacks against property,"CCIF, SETA",A mosque was vandalized with graffiti.
2016-12,Bulgaria,Anti-Muslim hate crime,Attacks against property,Office of Grand Mufti in Bulgaria,A mosque was the target of an arson attack in which seven Molotov cocktails were thrown at the building.
2016-02,France,Anti-Muslim hate crime,Attacks against property,CCIF,A Muslim butcher shop was vandalized. Everything inside was destroyed.
2016-02,France,Anti-Muslim hate crime,Attacks against property,CCIF,A prayer room and the outside of the building were vandalized with graffiti.
2016-05,France,Anti-Muslim hate crime,Attacks against property,CCIF,Three Muslim graves were vandalized.
2016-05,France,Racist and xenophobic hate crime,Attacks against property,CCIF,Anti-Migrant graffiti were painted on the wall of a shop owned by a Muslim woman.
2016-05,France,Anti-Muslim hate crime,Attacks against property,CCIF,A mosque was vandalized with anti-Muslim graffiti.
2016-06,France,Anti-Muslim hate crime,Attacks against property,CCIF,The remains of a wild boar were left in front of a mosque.
2016-07,France,Anti-Muslim hate crime,Attacks against property,CCIF,Graffiti containing death threats were spray-painted on a mosque.
2016-07,France,Anti-Muslim hate crime,Attacks against property,CCIF,A mosque was targeted by an arson attack.
2016-07,France,Anti-Muslim hate crime,Attacks against property,CCIF,A mosque was vandalized with graffiti.
2016-07,France,Anti-Muslim hate crime,Attacks against property,CCIF,Pork was placed in front of a mosque following the murder of a priest.
2016-07,France,Anti-Muslim hate crime,Attacks against property,CCIF,A mosque was vandalized with graffiti and a pig's head was left at the entrance of the building.
2016-09,Greece,Anti-Semitic hate crime,Attacks against property,"Anti-Defamation League (ADL), Central Board of Jewish Communities in Greece - KIS, Kantor Center, Racist Violence Recording Network (RVRN)",A synagogue was vandalized with anti-Semitic graffiti.
2016,Greece,Anti-Semitic hate crime,Attacks against property,Racist Violence Recording Network (RVRN),A synagogue was vandalized.
2016-11,Greece,Anti-Semitic hate crime,Attacks against property,Racist Violence Recording Network (RVRN),A Holocaust memorial in a cemetary was damaged.
2016,Greece,Anti-Semitic hate crime,Attacks against property,Racist Violence Recording Network (RVRN),A Holocaust memorial was vandalized.
2016,Greece,Anti-Semitic hate crime,Attacks against property,Racist Violence Recording Network (RVRN),Anti-Semitic graffiti were spray painted on a building.
2016,Greece,Racist and xenophobic hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),"Two Pakistani workers were subjected to racist insults and attacked by a group on their way to work. The incident was reported to the police. Later the same day, a large group attacked other people living in the same residence as the original victims in retaliation."
2016,Greece,Racist and xenophobic hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A man was subjected to racist insults and attacked by a group while leaving a metro station.
2016,Greece,Racist and xenophobic hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A Syrian man was attacked by a group of people. Witnesses were chased away from the scene of the incidents.
2016-11,Greece,Racist and xenophobic hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),An asylum seeker was hit by a stone during altercations near a refugee camp. The victim required hospitalization
2016,Greece,Racist and xenophobic hate crime,Threats,Racist Violence Recording Network (RVRN),"Staff working at a shelter designated to host refugees were threatened by different groups over the course of several days. Shortly after, the building entrance was set on fire."
2016,Greece,Racist and xenophobic hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A journalist was threatened and assaulted during a protest outside a refugee shelter.
2016,Greece,Racist and xenophobic hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A group of Nigerian women were chased by a group that later identified themselves as police officers. One of the women was subjected to racist insults and repeatedly assaulted before she was arrested.
2016,Greece,Racist and xenophobic hate crime,Attacks against property,Racist Violence Recording Network (RVRN),A warehouse containing humanitarian material for refugees was targeted in an arson attack.
2016,Greece,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Attacks against property,Racist Violence Recording Network (RVRN),A pig's head was left in a refugee camp.
2016,Greece,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Attacks against property,Racist Violence Recording Network (RVRN),A pig's head was placed in the yard of a museum dedicated to refugees.
2016,Greece,Anti-LGBTI hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A gay man was insulted and assaulted after embracing his partner.
2016-01,Greece,Anti-LGBTI hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A gay couple was subjected to homophobic insults and attacked by a group.
2016,Greece,Anti-LGBTI hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A man was subjected to homophobic slurs and assaulted by a group. One of the perpetrators spat on the victim after the incident was reported to the police.
2016-01,Greece,Anti-LGBTI hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A transgender woman was insulted and assaulted before she was robbed at knifepoint.
2016,Greece,Anti-LGBTI hate crime,Violent attacks against people,Racist Violence Recording Network (RVRN),A man was attacked after defending a transgender friend who was subjected to insults.
2016-10,France,Anti-Muslim hate crime,Attacks against property,CCIF,Graffiti were spray-painted on a Muslim butcher's truck.
2016-12,France,Anti-Muslim hate crime,Attacks against property,"CCIF, SETA",A mosque was the target of an arson attack.
2016-10,France,Anti-Muslim hate crime,Attacks against property,CCIF,A boar's head was placed at the entrance of a mosque.
2016-11,France,Anti-Muslim hate crime,Attacks against property,CCIF,A Celtic cross and a swastika were found on the window shutters of a mosque.
2016-02,France,Anti-Muslim hate crime,Attacks against property,ORIW,The front of a halal butcher shop was strafed with bullets.
2016-08,France,Anti-Muslim hate crime,Attacks against property,CCIF,The entrance to a mosque was targeted in an attempted arson attack.
2016-11,France,Anti-Muslim hate crime,Attacks against property,CCIF,A mosque was vandalized with graffiti.
2016-09,France,Anti-Muslim hate crime,Threats,CCIF,A threatening letter and a knife were sent to the leader of a prayer house.
2016-07,France,Anti-Muslim hate crime,Attacks against property,CCIF,A mosque was vandalized with graffiti.
2016-02,France,Anti-Muslim hate crime,Threats,ORIW,"A Muslim organization received multiple threatening letters, one of which contained slices of pork."
2016-07,France,Anti-Muslim hate crime,Threats,CCIF,"A man was purposefully nearly run over by a vehicle. The driver referred to the 14 July 2016 terrorist attack in Nice, which had occurred shortly before the incident."
2016-12,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,"Two Muslim women wearing headscarves, and a child were run over by a vehicle."
2016-12,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A Muslim woman wearing a headscarf and her son were insulted and assaulted.
2016-12,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,Two men visibly identifiable as Muslims were attacked by a group.
2016-12,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A Muslim couple was insulted and attacked by a group. The man required hospitalization following the attack.
2016-12,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,"A bearded man who was mistakenly identified as Muslim was stabbed in a bus and required immediate hospitalization. The perpetrator referred to ""fearing what the victim might do"" after the ensuing arrest."
2016-01,France,Anti-Muslim hate crime,Attacks against property,ORIW,A mosque was vandalized with anti-Muslim graffiti.
2016-07,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A man wearing a traditional dress was insulted and assaulted and left unconscious in an elevator.
2016-06,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A Muslim woman wearing a headscarf was assaulted in a supermarket.
2016-02,France,Anti-Muslim hate crime,Attacks against property,ORIW,The windows of an Islamic financial agency were broken.
2016-10,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A teenage Muslim girl wearing a headscarf was physically assaulted while travelling on a train.
2016-02,France,Anti-Muslim hate crime,Threats,ORIW,A Muslim woman wearing a headscarf was verbally abused threatened with a knife outside her children's school.
2016-03,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A Muslim woman wearing a headscarf was insulted and attacked while walking in a park with her child. The assailant tried to remove her headscarf.
2016-05,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A Muslim girl was assaulted and the target of death threats because she was wearing a headscarf.
2016-08,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,A Muslim woman was assaulted and had her face veil torn off.
2016-02,France,Anti-Muslim hate crime,Threats,ORIW,Threatening letters and pornography were found in front of a Muslim prayer room.
2016-08,France,Anti-Muslim hate crime,Violent attacks against people,CCIF,Two Muslim sisters wearing headscarves were the victims of racial slurs and attacked in a parking lot. One of the victims suffered a broken nose.
2016-04,France,Anti-Muslim hate crime,Attacks against property,ORIW,A mosque was the target of an arson attack.
2016-04,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A man was physically assaulted and nearly abducted by a group of men after leaving an LGBT venue.
2016-05,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A man was physically assaulted at his workplace following homophobic and transphobic insults.
2016-07,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A gay man and his sister were physically assaulted on the periphery of the LGBT Pride Festival.
2016-06,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,"A gay man was verbally and physically assaulted, resulting in several broken bones."
2016-08,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,"A gay man was attacked by a group of men outside an LGBT bar. He was verbally and physically assaulted, receiving serious injuries that required surgery."
2016-02,Hungary,Anti-Semitic hate crime,Attacks against property,Action and Protection Foundation (TEV),The menorah from a Holocaust memorial was stolen. The police began an investigation into the incident.
2016-02,Hungary,Racist and xenophobic hate crime,Attacks against property,Action and Protection Foundation (TEV),A swastika was engraved on the entrance to a bank.
2016-03,Hungary,Anti-Semitic hate crime,Attacks against property,Action and Protection Foundation (TEV),An anti-Semitic graffiti was found on a tourist lookout.
2016-04,Hungary,Racist and xenophobic hate crime,Attacks against property,Action and Protection Foundation (TEV),A swastika was painted on a house.
2016-04,Hungary,Anti-Semitic hate crime,Attacks against property,Action and Protection Foundation (TEV),A Holocaust memorial was vandalized with anti-Semitic graffiti.
2016-04,Hungary,Anti-Semitic hate crime,Attacks against property,Action and Protection Foundation (TEV),Anti-Semitic graffiti were painted on a public wall.
2016-04,Hungary,Anti-Christian hate crime,Attacks against property,Action and Protection Foundation (TEV),"Graffiti, including a swastika, were painted on a Christian church. The police began an investigation into this incident."
2016-04,Hungary,Racist and xenophobic hate crime,Attacks against property,Action and Protection Foundation (TEV),A swastika graffiti was found in a national park.
2016-06,Hungary,Anti-Semitic hate crime,Attacks against property,Action and Protection Foundation (TEV),A stone was thrown through the window of a synagogue. The police began an investigation into the incident.
2016-08,Hungary,Racist and xenophobic hate crime,Attacks against property,Action and Protection Foundation (TEV),Racist graffiti were painted on a public wall.
2016-09,Hungary,Anti-Semitic hate crime,Attacks against property,Action and Protection Foundation (TEV),An exhibition dedicated to Holocaust remembrance was vandalized.
2016-09,Hungary,Anti-Semitic hate crime,Attacks against property,Action and Protection Foundation (TEV),Anti-Semitic graffiti were painted on the wall a shopping centre.
2016-09,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A transgender woman was physically assaulted outside her front door following a long period of transphobic verbal abuse.
2016-02,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A gay transgender victim was murdered after being stabbed twelve times. The victim was subjected to homophobic and transphobic insults.
2016-11,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A gay man was beaten whilst being subjected to homophobic verbal abuse.
2016-05,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,"Two gay men were insulted and attacked on the street, resulting in serious physical injuries and loss of consciousness."
2016-01,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A gay man was verbally abused and severely beaten. He was left on the ground in freezing temperatures and lost consciousness.
2016-12,United Kingdom,"Anti-Semitic hate crime, Anti-LGBTI hate crime",Violent attacks against people,Galop,Two gay men were attacked by a group who beat them with bottles and punched and kicked the victims after homophobic and anti-Semitic verbal abuse.
2016-05,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A gay man outside an LGBT bar was subjected to homophobic abuse and was physically assaulted.
2016-05,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,Two gay men were attacked in the street and sustained heavy injuries after being verbally abused.
2016-10,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A gay man in a bar was physically assaulted after he was subjected to homophobic insults.
2016-07,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,A gay man was set on fire after being verbally abused with homophobic slurs by a group.
2016-12,United Kingdom,Anti-LGBTI hate crime,Violent attacks against people,Galop,"A woman was subjected to a series of homophobic slurs, attacked and robbed by a group outside a restaurant."
2016-02,Armenia,Anti-LGBTI hate crime,Threats,"Non-Discrimination and Equality Coalition Armenia (NDEC), Pink Armenia",A gay man was threatened with immolation on a popular television talk show.
2016-02,Armenia,Anti-LGBTI hate crime,Violent attacks against people,"ILGA-Europe, Non-Discrimination and Equality Coalition Armenia (NDEC), Pink Armenia, Transgender Europe (TGEU), UNHCR in Armenia, Çavaria","Five LGBT activists, including a transgender woman, were verbally and physically abused by a group of men."
2016-04,Armenia,Anti-LGBTI hate crime,Violent attacks against people,"Non-Discrimination and Equality Coalition Armenia (NDEC), Pink Armenia",A transgender woman was verbally and physically attacked with a knife in a park.
2016-05,Italy,Racist and xenophobic hate crime,Violent attacks against people,"Lunaria, SETA",A 34 year old Tunisian man was killed after he was assaulted and tortured by a group. His body was mutilated almost beyond recognition.
2016-07,Italy,Racist and xenophobic hate crime,Violent attacks against people,"Lunaria, SETA",A Nigerian asylum seeker was assaulted and killed after he and his wife were subjected to racist insults. The assault caused a coma from which the victim never recovered and subsequently died.
2016-05,Armenia,Anti-LGBTI hate crime,Threats,"Non-Discrimination and Equality Coalition Armenia (NDEC), Pink Armenia",The staff of an LGBT organization were threatened on social media.
2016-01,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Moroccan man was assaulted by a group following racist insults. The victim had a bottle thrown at him and required surgical treatment following the incident.
2016-03,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Pakistani man was attacked and stabbed while walking along a street.
2016-09,Armenia,Anti-LGBTI hate crime,Threats,"Non-Discrimination and Equality Coalition Armenia (NDEC), Pink Armenia",A gay man was threatened with disclosure of his sexual orientation if he reported the theft of his property.
2016-04,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,An Eritrean asylum seeker residing in a shelter for refugees was assaulted by a group while traveling in public transport. Racist insults were made before the assault and the victim required surgery.
2016-04,Italy,Racist and xenophobic hate crime,Violent attacks against people,"Lunaria, SETA",Three Gambian students were subjected to racist insults and physically assaulted by a large group. One of the students was shot in the head during the incident and survived.
2016-05,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,"A Bangladeshi man was assaulted, after being subjected to racist threats and insults, while going about his work cleaning litter."
2016-05,Italy,"Racist and xenophobic hate crime, Anti-LGBTI hate crime",Violent attacks against people,Lunaria,A Bolivian man and the owner of the bar at which he worked were assaulted with blunt objects after being subjected to racist and homophobic insults.
2016-07,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,Two Bengali men selling roses on the seafront were assaulted by a group after being subjected to racist insults.
2016-07,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Sri Lankan man was assaulted by a group and hit with a metal bar for no apparent reason. The victim was hospitalized after the attack.
2016-07,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Senegalese man was subjected to racist insults and assaulted by another resident of the charitable organization hosting the victim.
2016-09,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Tunisian man was subjected to racists insults and assaulted after an altercation involving a vehicle blocking street access to a person with a disability.
2016-10,Italy,"Racist and xenophobic hate crime, Anti-Roma hate crime",Violent attacks against people,Lunaria,"Three women students, an Albanian, a Roma and one of African descent, were assaulted following several incidents of racist insults in school."
2016-11,Italy,Anti-Roma hate crime,Violent attacks against people,Lunaria,The president of a local organization working for the inclusion of Roma people was assaulted after being subjected to racist insults.
2016-12,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,Two Bangladeshi men were assaulted and stabbed by a group with no apparent motive. The victims required hospitalization.
2016-12,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,"A Kenyan woman was insulted, assaulted and robbed while using a taxi."
2016-07,Italy,Anti-Muslim hate crime,Violent attacks against people,"Lunaria, SETA",A Tunisian woman wearing a headscarf was subjected to racist insults and spat at several times while walking her children to school.
2016-10,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Ghanaian man was subjected to racist insults while walking by a bar. He was assaulted after asking for an explanation.
2016-11,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A bus driver was pepper sprayed after intervening to defend a Moroccan woman who was subjected to racist insults.
2016-10,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,Minors residing in a migrant reception centre were subjected to racist insults and had rocks thrown at them.
2016-01,Greece,Racist and xenophobic hate crime,Violent attacks against people,"Federation of Western Thrace Turks in Europe (ABTTF), Western Thrace Minority Graduates Association (WTMUGA)",An imam was abducted by a group who also made threats of violence against a mufti.
2016-09,Denmark,Anti-Semitic hate crime,Threats,AKVAH,A Jewish man working for a youth organization was insulted with anti-Semitic slurs and threatened.
2016-01,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Moroccan man was assaulted after being subjected to racist insults.
2016-02,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,"Two Pakistani men were shoved, kicked and punched while traveling in a bus after being subjected to racist slurs. The two victims were forced off of the bus and their belongings were damaged."
2016-04,Italy,Racist and xenophobic hate crime,Violent attacks against people,Lunaria,A Moroccan family was physically assaulted after being threatened and subjected to racist insults. The perpetrator was arrested and charged.
2016-05,Italy,Anti-Semitic hate crime,Violent attacks against people,Lunaria,A teenager wearing a kippah was attacked by a group after being subjected to racist insults.
2016-07,Italy,Racist and xenophobic hate crime,Threats,Lunaria,Three Cameroonians were subjected to racist insults and threatened at a supermarket.
2016-02,Italy,Racist and xenophobic hate crime,Threats,Lunaria,The doors to a reception centre were battered by a car in an attempt to force the residents out of the building so that they could be assaulted.
2016-05,Italy,Racist and xenophobic hate crime,Attacks against property,Lunaria,A reception centre for asylum seekers was targeted in two separate Molotov cocktail attacks over the course of a weekend.
2016-07,Italy,Anti-Roma hate crime,Attacks against property,Lunaria,Roma residences were targeted in an arson attack committed by a group.
2016-07,Italy,Racist and xenophobic hate crime,Attacks against property,Lunaria,A shelter for migrants was targeted in an arson attack following tensions about the purpose of the residence.
2016-10,Italy,Racist and xenophobic hate crime,Attacks against property,Lunaria,Two vehicles belonging to Romanians were specifically targeted in an arson attack.
2016-11,Italy,Racist and xenophobic hate crime,Attacks against property,Lunaria,A building designated to host asylum seekers was the target of an arson attack.
2016-12,Italy,Racist and xenophobic hate crime,Attacks against property,Lunaria,A building designated as a shelter for refugees was the target of an arson attack. The owner of the building had been threatened during protests before the incident.
2016-12,Italy,Racist and xenophobic hate crime,Attacks against property,Lunaria,Two apartments used to house asylum seekers were damaged in targeted attacks.
2016-01,Italy,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Attacks against property,Lunaria,The shutters of a building that previously housed a kebab restaurant were covered with racist and anti-Muslim graffiti.
2016-02,Italy,Anti-Semitic hate crime,Attacks against property,"Lunaria, Observatory on anti-Semitism",Nazi symbols were spray painted on a plaque commemorating a historic Jewish ghetto.
2016-04,Italy,Racist and xenophobic hate crime,Attacks against property,Lunaria,Racist graffiti and a swastika were spray painted on a road sign.
2016-07,Italy,Anti-Muslim hate crime,Attacks against property,Lunaria,Racist graffiti were painted on the wall of a building designated to become a Muslim cultural centre.
2016-08,Italy,"Racist and xenophobic hate crime, Anti-Semitic hate crime",Attacks against property,Lunaria,"Swastikas, racist, and neo-nazi messages were painted on a local stadium."
2016-11,Italy,"Racist and xenophobic hate crime, Anti-Semitic hate crime",Attacks against property,Lunaria,"A swastika, racist, and anti-Semitic graffiti were painted on an overpass."
2016-12,Italy,Anti-Semitic hate crime,Attacks against property,"Lunaria, Observatory on anti-Semitism",Nazi symbols and a swastika were spray-painted next to a shop owned by a Jewish person.
2016-02,Italy,Anti-Muslim hate crime,Attacks against property,Lunaria,Two Pakistani men found a pig’s head next to their kebab shop.
2016-07,Turkey,Anti-LGBTI hate crime,Violent attacks against people,London Legal Group (LLG),A gay Syrian refugee was mutilated and killed by beheading. The victim had been kidnapped and sexually assaulted five months earlier. The victim had been threatened because of his sexual orientation.
2016-08,Turkey,Anti-LGBTI hate crime,Violent attacks against people,London Legal Group (LLG),A transgender activist was killed. She had been tortured and repeatedly sexually assaulted by a group. Her body was burnt and mutilated.
